Ctrl_rep1	Ctrl_rep2	METTL3_KD_rep1	METTL3_KD_rep2
TP53I13	954	911	1150	1055
GIT1	3572	3413	2520	2530
ANKRD13B	1326	1183	1150	1163
CORO6	120	81	301	263
MIR423	3	0	0	0
MIR3184	0	0	0	0
SLC6A4	131	78	45	49
TMIGD1	0	0	0	0
GOSR1	4675	5059	2229	2249
TBC1D29	0	0	0	0
LOC107133515	1412	1461	1358	1395
SH3GL1P2	0	0	2	0
SUZ12P1	401	328	191	206
ATAD5	1559	1233	939	1046
TEFM	1128	1128	1161	1245
RNF135	940	848	817	881
DPRXP4	7	4	1	1
MIR4733	0	0	0	0
OMG	0	0	2	2
EVI2B	1	0	0	0
EVI2A	2	0	0	1
MIR4724	0	0	0	0
MIR193A	0	1	0	0
MIR4725	0	0	0	0
MIR365B	0	0	0	0
COPRS	4252	4462	2993	3232
UTP6	7555	7628	4991	5378
LRRC37B	376	302	279	298
SH3GL1P1	9	4	5	2
LOC105371730	64	42	56	42
RHOT1	2287	2178	2455	2523
ARGFXP2	0	0	1	1
RHBDL3	492	513	534	603
C17orf75	2111	2038	1380	1508
MIR632	1	1	1	1
ZNF207	20785	21300	14519	15393
PSMD11	13944	13686	13651	13679
CDK5R1	1123	1096	1053	1077
TMEM98	4278	4301	3245	3392
SPACA3	0	1	0	0
AA06	0	0	0	0
LOC101927239	0	0	0	0
CCL2	0	0	0	0
CCL7	0	0	0	0
CCL11	0	0	0	0
CCL8	0	0	0	0
CCL13	0	0	0	0
CCL1	0	0	0	0
C17orf102	0	1	1	0
CCT6B	33	40	102	103
ZNF830	1097	1027	634	747
RFFL	178	198	146	147
RAD51L3-RFFL	5	1	0	1
RAD51D	670	827	941	955
NLE1	4265	4689	2727	2785
UNC45B	1	0	2	2
SLC35G3	0	0	0	0
SLFN11	0	0	0	0
SLFN12	0	0	0	0
SLFN13	0	0	0	0
SLFN12L	0	0	0	0
SLFN14	0	0	0	0
LOC105371743	854	865	371	425
SNORD7	0	2	0	1
PEX12	873	919	478	492
RASL10B	776	755	1292	1270
GAS2L2	0	1	0	0
C17orf50	2	2	2	2
TAF15	19279	19611	13937	15512
HEATR9	0	1	0	1
CCL5	0	0	0	1
LRRC37A8P	129	102	122	114
RDM1	321	353	415	417
LYZL6	0	0	0	0
CCL16	0	0	0	0
CCL14	0	0	0	0
CCL15-CCL14	0	0	0	0
CCL15	0	0	0	0
CCL23	0	0	0	0
CCL18	0	0	0	0
CCL3	0	0	0	0
CCL4	0	0	0	0
CCL3L3	0	0	0	0
CCL4L2	0	0	0	0
TBC1D3I	0	0	0	0
TBC1D3G	0	0	0	0
TBC1D3H	0	0	0	0
ZNHIT3	3241	3299	2979	3126
MYO19	4353	4414	1509	1471
PIGW	3797	3900	1895	1906
DHRS11	1508	1588	564	567
MRM1	582	542	123	151
LOC102723471	88	81	53	50
LHX1	116	115	134	129
MIR2909	0	0	0	0
SNORA90	0	0	0	0
C17orf78	1	0	0	1
TADA2A	1117	1011	869	965
DUSP14	3215	3237	3696	4032
SYNRG	3766	3658	3891	4186
MIR378J	8	5	5	2
HNF1B	2	3	1	8
TBC1D3K	0	0	0	0
TBC1D3L	37	16	22	19
TBC1D3C	0	0	0	0
TBC1D3E	1	1	1	1
TBC1D3	0	0	0	0
LOC440434	456	472	361	394
MRPL45	5420	5794	4365	4268
GPR179	4	5	2	0
ARHGAP23	31	31	77	82
C17orf96	1898	1765	1171	1300
MIR4734	0	0	0	0
MLLT6	5180	4994	3308	3683
MIR4726	0	0	0	0
CISD3	1337	1431	1162	1197
PCGF2	1203	1176	915	929
PSMB3	13958	14663	10642	11032
CWC25	1803	1832	1291	1456
MIR4727	0	0	0	0
C17orf98	1	1	3	3
RPL23	71994	76698	48895	53204
SNORA21	10	9	9	2
LASP1	3441	3537	4604	4727
MIR6779	0	0	0	0
FBXO47	0	0	0	0
LOC105371766	0	0	0	0
LRRC37A11P	20	14	31	37
PLXDC1	58	37	27	23
ARL5C	7	3	2	0
RPL19	107542	112161	81597	87171
STAC2	192	190	251	268
MED1	6899	6670	7964	8124
CDK12	11799	11347	8775	9259
NEUROD2	0	0	2	3
PPP1R1B	3	0	2	0
STARD3	2580	2546	2254	2238
TCAP	18	20	28	30
PNMT	20	8	18	12
PGAP3	577	543	260	253
MIR4728	1	0	0	0
MIEN1	3059	3047	2935	2882
GRB7	3	4	3	3
ZPBP2	0	0	0	0
GSDMB	39	37	20	15
ORMDL3	3124	3367	2461	2537
LRRC3C	0	1	1	0
PSMD3	20420	21004	11606	12578
CSF3	1	0	0	0
MED24	11991	12545	11273	11726
MIR6884	3	2	2	3
SNORD124	5	3	5	7
THRA	1524	1518	1867	1911
NR1D1	317	343	326	338
MSL1	5106	5092	3813	4210
CASC3	9475	9717	6735	6741
MIR6866	0	0	0	0
RAPGEFL1	278	260	57	66
MIR6867	0	0	1	0
CDC6	12013	12302	6860	7140
RARA	1450	1411	1298	1179
RARA-AS1	16	26	14	13
GJD3	530	604	323	368
TOP2A	33036	31623	23076	24704
IGFBP4	260	268	209	225
CCR7	3	3	13	5
KRT222	125	131	207	181
KRT24	0	0	0	0
KRT25	0	0	0	0
KRT26	0	0	0	0
KRT27	4	3	2	2
KRT28	0	0	0	0
KRT10	910	777	574	557
TMEM99	1251	1319	1745	1806
KRT12	0	1	0	0
KRT20	1	0	0	0
KRT23	0	0	1	0
KRT39	0	0	0	0
KRT40	0	0	0	0
KRTAP3-3	0	0	0	0
KRTAP3-2	0	0	0	0
KRTAP3-1	0	0	0	0
KRTAP1-5	0	0	0	0
KRTAP1-4	0	0	0	0
KRTAP1-3	0	0	0	0
KRTAP1-1	0	0	0	0
KRTAP2-1	0	0	0	0
KRTAP2-2	0	0	0	0
KRTAP2-3	0	0	0	0
KRTAP2-4	0	0	0	0
KRTAP4-7	1	0	0	0
KRTAP4-8	0	0	0	0
KRTAP4-9	0	0	0	0
KRTAP4-11	0	0	0	0
KRTAP4-12	0	0	0	0
KRTAP4-6	0	0	0	0
KRTAP4-5	0	0	0	0
KRTAP4-4	0	0	0	0
KRTAP4-3	0	0	0	0
KRTAP4-2	0	0	0	0
KRTAP4-1	0	0	0	0
KRTAP9-1	0	0	0	0
KRTAP9-2	0	0	0	0
KRTAP9-3	0	0	0	0
KRTAP9-8	0	0	0	0
KRTAP9-4	0	0	0	0
KRTAP9-9	0	0	0	0
KRTAP9-6	0	0	0	0
KRTAP9-7	0	0	0	0
KRTAP29-1	0	0	0	0
KRTAP16-1	0	0	0	0
KRTAP17-1	0	0	0	0
KRT33A	0	0	0	0
KRT33B	0	0	0	0
KRT34	0	0	0	0
KRT31	0	1	0	0
LOC100505782	0	0	0	0
KRT37	0	0	0	0
KRT38	195	170	116	123
KRT32	17	14	6	5
KRT35	11	8	2	8
KRT36	2	3	1	1
KRT13	1	7	0	1
KRT15	1	0	0	0
MIR6510	0	0	0	0
KRT19	0	0	0	0
KRT9	0	0	1	0
KRT14	0	0	0	0
KRT16	0	0	0	0
KRT17	3	6	39	52
KRT42P	1	0	0	0
EIF1	31912	31032	23509	23972
GAST	0	0	2	1
HAP1	446	419	324	379
JUP	3967	4147	3713	3663
FKBP10	9798	9378	3236	3341
NT5C3B	15346	15188	13448	13323
KLHL10	31	23	11	8
KLHL11	2489	2158	2236	2467
ACLY	59608	62742	32375	34460
CNP	9646	9975	10087	10902
DNAJC7	9425	9022	5688	6528
NKIRAS2	8147	8674	8156	8370
ZNF385C	57	55	59	68
DHX58	21	25	33	34
KAT2A	8071	7925	6392	6736
HSPB9	17	21	9	7
RAB5C	13265	14622	10894	11251
KCNH4	68	58	48	41
HCRT	2	1	2	1
GHDC	2293	2241	1162	1080
STAT5A	4	2	2	3
PTRF	1129	1035	2238	2415
MIR548AT	0	1	0	0
MIR5010	8	3	1	1
NAGLU	3001	2907	1836	1807
HSD17B1	1124	1083	769	754
COASY	8769	9176	4421	4525
MLX	6299	6466	3791	3989
PSMC3IP	1003	989	647	692
TUBG1	18733	20165	10091	10737
TUBG2	399	353	197	187
PLEKHH3	1190	1069	1574	1477
CCR10	5	7	9	3
CNTNAP1	447	441	197	220
MIR6780A	0	0	0	0
RAMP2-AS1	153	143	156	154
RAMP2	76	114	117	107
VPS25	12372	13126	11966	12551
WNK4	142	125	15	19
COA3	6887	7058	6140	6188
CNTD1	30	29	33	32
BECN1	3603	3865	3081	3244
MIR6781	2	1	0	0
PSME3	31217	32601	24183	24687
AOC2	186	168	61	66
AOC3	64	52	10	17
AOC4P	0	2	0	0
LINC00671	0	0	0	0
G6PC	0	0	0	0
AARSD1	1	4	3	2
PTGES3L-AARSD1	2	0	0	1
PTGES3L	44	47	24	26
RPL27	83804	88985	56104	57968
IFI35	203	233	197	224
VAT1	15840	17888	15790	16435
RND2	1516	1431	609	662
NBR2	98	110	104	106
LOC101929767	251	266	259	254
NBR1	9351	9739	8603	9095
TMEM106A	1	0	0	0
LINC00854	0	0	1	0
RNU2-1	0	0	0	0
ARL4D	1003	1024	1064	1077
MIR2117	0	0	0	0
ETV4	40	41	18	14
SOST	0	0	0	0
C17orf105	2	0	2	0
MPP3	229	213	204	213
CD300LG	0	1	1	3
FAM215A	0	0	0	0
LOC107546764	77	62	95	83
PPY	0	0	0	2
PYY	7	5	7	4
NAGS	104	69	106	117
TMEM101	2757	3083	2492	2663
G6PC3	6315	6646	6881	6913
HDAC5	2918	2806	881	859
LOC105371789	1	0	0	0
C17orf53	1457	1405	1039	1028
ASB16-AS1	436	374	199	189
TMUB2	2577	2666	2644	2710
ATXN7L3	6977	7080	7174	7572
UBTF	11457	10923	8725	9703
MIR6782	0	0	0	0
SLC4A1	1	1	0	0
RUNDC3A	47	52	35	34
SLC25A39	15762	16285	9474	9535
GRN	14942	15891	17776	17601
FAM171A2	1264	1178	1648	1517
ITGA2B	237	248	169	150
FZD2	784	834	816	755
LINC01180	0	1	1	0
MEIOC	709	632	1045	1028
CCDC43	3936	3688	2512	2597
DBF4B	3600	3490	1943	2023
ADAM11	1618	1641	1145	1132
HIGD1B	23	12	18	27
EFTUD2	33559	35774	22601	23380
CCDC103	555	526	737	782
GFAP	31	44	40	25
KIF18B	6197	5816	2663	2790
MIR6783	5	0	3	0
C1QL1	255	211	242	216
DCAKD	3490	3742	3738	3647
PLCD3	2753	2662	2534	2555
MIR6784	3	4	1	1
ACBD4	293	277	179	177
HEXIM1	3936	3767	1988	2074
HEXIM2	101	114	114	141
LOC105371795	2	2	4	8
FMNL1	122	109	206	187
MAP3K14-AS1	42	23	37	42
SPATA32	1	1	2	0
MAP3K14	324	284	217	218
ARHGAP27	408	391	888	929
MIR4315-1	0	0	0	0
LRRC37A4P	271	178	129	164
LOC644172	0	0	1	0
MGC57346	1782	1898	840	849
CRHR1-IT1	335	314	197	219
CRHR1	1	1	0	0
SPPL2C	0	0	0	0
MAPT-IT1	0	1	1	2
STH	1	0	0	1
KANSL1-AS1	12	15	32	25
LRRC37A	177	151	70	115
ARL17B	130	135	124	129
WNT9B	13	10	16	10
MIR5089	0	0	0	0
RPRML	77	66	37	39
MYL4	2	1	0	0
ITGB3	39	54	30	30
EFCAB13	22	22	8	22
MRPL45P2	320	320	398	434
KPNB1	57576	54470	32352	35306
TBX21	20	17	13	10
OSBPL7	90	77	116	130
MRPL10	6964	7453	7076	7623
LRRC46	111	101	124	107
SP6	87	73	146	140
LOC102724532	239	270	265	264
SP2	2154	1885	1968	2068
SP2-AS1	125	121	123	150
PNPO	3591	3569	2740	2692
PRR15L	6	11	9	14
COPZ2	3	2	3	4
MIR152	0	0	0	0
NFE2L1	10991	11596	9591	10168
CBX1	13622	13318	9942	10711
SNX11	3689	3922	2555	2539
MIR1203	0	0	0	0
THRA1/BTR	0	0	1	0
LOC101927166	2	3	1	0
HOXB1	0	0	0	0
HOXB2	771	765	524	508
HOXB-AS1	28	27	17	13
HOXB3	1155	965	662	651
HOXB4	333	298	100	87
MIR10A	0	2	0	1
HOXB-AS3	564	571	314	336
HOXB5	310	309	117	133
HOXB6	2283	2153	1493	1480
HOXB7	1246	1158	1309	1277
HOXB8	1411	1321	1572	1646
HOXB9	16656	17236	10020	10314
MIR196A1	2	4	1	5
PRAC1	5	1	4	4
PRAC2	54	52	36	48
MIR3185	0	0	0	0
HOXB13	1754	1658	1528	1595
TTLL6	17	4	15	26
CALCOCO2	5549	5439	4771	5154
ATP5G1	14399	15406	7621	8014
UBE2Z	12203	13576	10471	10969
SNF8	7406	7621	5783	6106
GIP	5	3	5	8
GNGT2	1	1	2	5
ABI3	4	1	3	1
PHOSPHO1	141	129	153	155
FLJ40194	0	0	0	0
MIR6129	0	0	0	0
ZNF652	1946	1821	1636	1679
LOC102724596	9	9	5	5
LOC101927207	0	0	0	0
NGFR	61	46	57	50
MIR6165	0	0	0	0
NXPH3	67	54	139	125
SLC35B1	5187	5645	3760	4081
FAM117A	1828	1893	1364	1405
TAC4	6	0	1	2
FLJ45513	10	3	8	3
DLX4	355	322	510	473
DLX3	27	32	61	46
LOC284080	3	0	3	2
PDK2	2766	2801	3012	2946
SAMD14	57	56	103	113
PPP1R9B	4309	4193	4150	4337
SGCA	0	0	1	1
HILS1	0	0	0	0
LOC101927230	0	0	0	0
TMEM92	7	7	13	7
TMEM92-AS1	0	0	0	0
XYLT2	2359	2375	1596	1665
MRPL27	5992	6234	4019	4486
EME1	1539	1553	1075	1125
LRRC59	27393	28314	20790	21837
CHAD	5	6	4	6
RSAD1	4851	4648	2598	2770
MYCBPAP	1	3	1	1
EPN3	3	9	10	6
LOC105371824	3	0	1	2
SPATA20	842	805	380	419
CACNA1G-AS1	1	4	1	4
ABCC3	1	3	2	3
ANKRD40	8998	9042	2745	2748
LINC00483	1	0	0	1
MIR8059	0	0	0	0
WFIKKN2	9	7	17	15
TOB1	2938	2900	2622	2734
TOB1-AS1	49	42	26	20
NME1-NME2	20	16	15	13
NME1	13915	14905	11189	11874
NME2	50	24	85	18
UTP18	9522	9571	6042	6334
LOC101927274	0	0	0	0
LOC440446	0	0	0	0
C17orf112	0	0	0	0
KIF2B	0	0	0	0
COX11	6843	6793	4602	4815
MMD	1001	1006	990	1019
TMEM100	110	127	53	55
PCTP	2529	2801	1754	1780
NOG	70	50	64	58
C17orf67	109	93	45	37
DGKE	1611	1451	1977	1928
MTVR2	0	0	0	0
TRIM25	5860	6072	5217	5410
MIR3614	0	0	0	0
COIL	6263	6189	4870	5547
SCPEP1	5119	5347	4001	4203
RNF126P1	1	1	0	0
AKAP1	10690	10959	7463	7887
LOC101927557	0	0	0	0
LOC101927539	0	0	0	0
CCDC182	0	0	0	0
MRPS23	8604	8649	5921	6459
VEZF1	3384	3410	2929	3008
SRSF1	53104	53073	30717	32679
LOC101927666	0	0	0	0
DYNLL2	4264	4136	4355	4609
OR4D1	0	0	0	0
MSX2P1	34	36	26	24
OR4D2	0	0	0	0
MKS1	3129	3004	1304	1423
LPO	1	4	1	2
MPO	0	0	0	0
MIR142	0	0	0	0
MIR4736	0	0	0	0
SUPT4H1	5935	5881	4830	5127
RNF43	193	223	193	200
MTMR4	7487	7492	6429	6924
SEPT4-AS1	4	5	6	6
SEPT4	100	91	115	134
C17orf47	1	0	3	4
TRIM37	6799	7155	3725	3795
MIR454	0	0	0	0
MIR301A	0	0	0	0
PRR11	4507	3726	1931	1947
SMG8	5698	6125	6353	6632
MIR4729	0	0	0	0
DHX40	12158	12306	11403	11769
PTRH2	2321	2314	1727	1859
MIR21	0	0	0	0
TUBD1	1741	1779	1427	1460
RNFT1	1505	1474	1615	1685
TBC1D3P1-DHX40P1	3	5	7	6
LOC101927755	48	36	52	51
MIR4737	16	19	19	16
HEATR6	3400	3330	3767	3943
LOC105371849	10	4	2	5
WFDC21P	13	7	18	15
LOC653653	4	8	3	1
CA4	0	0	1	0
SCARNA20	1	0	3	1
APPBP2	5606	5624	3070	3070
LOC388406	0	0	0	0
PPM1D	3497	3518	4496	4715
LOC101927855	0	0	3	0
TBX2-AS1	126	99	102	98
TBX2	864	871	691	657
C17orf82	4	5	6	10
NACA2	12	10	10	4
TBC1D3P2	0	0	0	0
METTL2A	3547	3584	2653	2896
LOC101927877	0	0	0	0
MIR633	0	0	0	0
ACE	101	100	38	44
KCNH6	4	0	1	1
TACO1	4789	4852	4350	4492
MAP3K3	4367	4638	4029	4069
LIMD2	1201	1093	1470	1465
STRADA	2226	2303	2732	2967
CCDC47	14113	14378	6316	6633
DDX42	9750	9654	6312	6870
FTSJ3	14157	14992	9817	11019
PSMC5	13351	13977	9820	10557
SMARCD2	10870	11386	4704	5234
TCAM1P	34	28	72	70
CSH2	1	0	1	0
GH2	1	0	3	1
CSH1	0	0	0	0
CSHL1	0	0	0	0
GH1	0	0	0	0
CD79B	0	0	0	1
PRR29-AS1	1	0	0	1
PRR29	15	19	16	17
ICAM2	0	1	0	1
SNHG25	70	29	55	22
SNORD104	46	22	15	15
SNORA50C	48	58	38	38
MIR1273E	0	0	0	0
MILR1	0	0	0	0
DDX5	49805	48044	32373	34348
MIR3064	146	79	38	40
MIR5047	380	263	114	137
CEP95	1771	1488	1672	1823
LOC146880	252	177	93	124
MIR6080	0	0	0	0
PLEKHM1P1	162	105	100	83
MIR4315-2	1	0	0	0
AMZ2P1	630	656	805	798
LOC100507002	280	287	352	347
CRAT40	0	0	0	0
APOH	0	0	0	0
PRKCA-AS1	0	0	0	0
MIR634	0	0	0	0
CACNG5	2	7	1	1
CACNG1	0	1	1	0
LOC101928021	2	1	3	4
PSMD12	9921	9275	9449	10225
MIR548D2	0	0	0	0
MIR548AA2	0	0	0	0
NOL11	17839	17823	13453	14340
SNORA38B	3	0	1	0
C17orf58	1967	2085	2126	2266
KPNA2	52099	55841	26193	28523
LINC00674	5562	5344	3001	3080
LOC440461	10	8	28	18
AMZ2	7488	7520	8595	8833
WIPI1	235	260	401	369
MIR635	4	3	5	9
LINC01482	1	0	0	0
ABCA9	0	0	0	1
ABCA9-AS1	0	0	1	0
ABCA6	1	1	1	2
MIR4524B	0	0	0	0
MIR4524A	0	0	0	0
PRO1804	0	0	0	0
ABCA5	731	653	454	536
LINC01497	0	0	0	0
LINC01028	0	0	0	0
KCNJ2-AS1	13	15	4	11
KCNJ2	37	35	23	22
LOC102723505	2	0	3	2
LINC01152	23	27	73	82
LOC102723517	0	0	0	0
SOX9	573	543	458	429
SSTR2	196	161	160	205
COG1	2522	2518	1881	2031
FAM104A	2040	1960	2088	2197
C17orf80	4090	3883	3492	3662
CPSF4L	0	1	0	0
CDC42EP4	2324	2333	1862	1768
LOC101928251	0	0	1	0
LOC100134391	0	0	0	0
RPL38	42014	44893	27879	29276
MGC16275	104	86	79	69
TTYH2	684	687	496	540
DNAI2	0	0	1	2
KIF19	1	0	1	1
BTBD17	2	0	2	1
GPR142	0	0	0	1
GPRC5C	359	382	428	448
CD300A	0	0	0	0
CD300LB	0	0	0	0
CD300C	0	0	0	0
LOC100130520	0	0	0	0
CD300LD	0	0	0	0
C17orf77	0	0	0	0
CD300E	0	1	0	0
SLC9A3R1	3680	3706	3100	3284
MIR3615	0	0	0	0
NAT9	2340	2351	1641	1696
TMEM104	3072	3120	2334	2269
FDXR	1682	1678	2321	2241
FADS6	0	0	1	0
USH1G	56	40	119	119
OTOP2	0	1	1	0
OTOP3	0	0	0	0
HID1	786	745	778	825
CDR2L	1814	1771	2121	2222
ICT1	3016	3013	2628	2617
KCTD2	5748	6438	5842	6293
ATP5H	10106	10643	9714	10773
ARMC7	1869	1953	1526	1601
NT5C	1517	1435	1067	959
HN1	18140	19154	13176	13741
SUMO2	24167	23963	25138	27755
GGA3	4720	4594	2102	2172
MRPS7	12600	12840	7910	8531
MIF4GD	1670	1741	1936	2056
LOC100287042	188	231	88	79
SLC25A19	2354	2535	1665	1868
MIR3678	0	1	0	0
MIR6785	0	0	0	0
CASKIN2	1498	1340	916	834
TSEN54	3369	3210	2587	2600
LLGL2	1057	1033	927	995
MYO15B	41	31	48	33
SMIM5	6	6	7	9
SMIM6	1	0	1	1
SAP30BP	4448	4664	2149	2328
ITGB4	60	61	88	65
H3F3B	38308	38920	14773	16257
MIR4738	2	5	1	1
UNK	4359	4096	2127	2123
UNC13D	11	4	8	9
WBP2	7508	7881	9997	10004
TRIM47	283	277	276	257
MRPL38	7431	7383	3132	3091
FBF1	654	543	228	260
ACOX1	2961	2828	1688	1863
TEN1	0	0	0	0
TEN1-CDK3	7	7	3	0
CDK3	0	0	0	0
SRP68	16193	16548	7818	8130
GALR2	22	22	16	16
ZACN	5	5	3	9
EXOC7	10269	10225	7953	8318
MIR6868	0	0	0	0
FOXJ1	0	0	0	4
UBALD2	1927	1902	1915	1809
PRPSAP1	4475	4584	3228	3272
SPHK1	439	387	423	395
AANAT	23	28	6	4
RHBDF2	843	788	343	328
CYGB	11	8	48	50
PRCD	7	4	1	5
SNHG16	9609	9297	6903	7690
SNORD1C	10	7	3	0
SNORD1B	8	2	2	1
SNORD1A	23	10	5	5
ST6GALNAC2	79	58	49	73
ST6GALNAC1	0	0	3	2
LOC105274304	215	217	139	149
JMJD6	3559	3414	2628	2829
METTL23	1680	1692	1820	2010
SRSF2	33096	32360	19578	21348
MIR636	0	0	0	0
MFSD11	1796	1715	1491	1627
LOC101928514	1	1	1	0
LINC00868	0	0	0	0
LOC105371899	1	2	1	3
SNHG20	636	602	222	246
SCARNA16	8	3	6	3
MIR6516	2	0	0	0
LOC105371907	0	0	1	0
MIR4316	0	0	0	0
LOC100507351	2	1	3	2
FLJ45079	0	0	0	0
TNRC6C	1582	1528	1653	1707
TNRC6C-AS1	23	22	23	31
TMC8	13	9	4	4
C17orf99	1	0	2	1
SYNGR2	10814	11383	10778	10919
TK1	8910	9274	5713	6000
AFMID	2491	2687	1675	1837
BIRC5	21864	21719	17095	17212
TMEM235	0	0	0	0
LOC100996291	0	0	0	1
SOCS3	48	54	70	72
LOC101928674	8	7	9	11
DNAH17-AS1	0	1	2	2
LOC101928710	1	1	0	1
USP36	5989	5919	4377	4646
CEP295NL	1	0	0	0
LGALS3BP	553	593	1016	955
CANT1	6611	6623	7314	7096
C1QTNF1-AS1	0	0	0	0
ENGASE	1768	1663	1252	1283
MIR4739	0	0	0	0
HP09025	0	0	0	0
ENPP7	0	0	1	0
CBX2	7158	7170	8152	8346
CBX8	1035	1045	1098	1026
CBX4	1577	1406	1636	1565
LOC101928766	3	1	10	7
LOC101928738	0	0	0	0
MIR1268B	0	1	0	0
GAA	4738	4811	1322	1322
EIF4A3	20838	21805	12362	12926
CARD14	46	33	10	10
SLC26A11	1002	967	632	629
LOC100294362	18	9	4	11
ENDOV	540	464	496	419
MIR4730	2	3	1	0
NPTX1	3147	3156	1715	1781
LOC101928855	1	0	0	1
CHMP6	1490	1534	1644	1579
BAIAP2-AS1	931	941	1312	1361
BAIAP2	1530	1505	1290	1310
MIR657	0	2	0	0
MIR3065	0	0	0	0
MIR338	0	0	0	0
MIR1250	0	1	3	1
AATK-AS1	2	3	2	4
CEP131	1085	977	654	616
ENTHD2	663	646	562	552
LOC105371925	53	44	68	67
C17orf89	2872	2931	2694	2810
LINC00482	1	0	4	0
TMEM105	0	0	1	1
LOC100130370	3	3	4	3
BAHCC1	1804	1478	2382	2284
MIR4740	5	5	0	0
MIR3186	3	2	1	5
ACTG1	293406	312347	215146	217136
FSCN2	14	15	20	21
FAAP100	3816	3698	3263	2947
NPLOC4	14696	15426	10190	10542
TSPAN10	293	299	146	137
PDE6G	10	2	1	7
OXLD1	1388	1365	1373	1315
CCDC137	4354	4276	2984	3183
ARL16	3480	3365	2278	2399
HGS	4142	3957	2694	2670
MIR6786	0	0	0	0
MRPL12	13847	13602	8507	8568
SLC25A10	6645	6718	5636	5304
GCGR	0	0	0	0
MCRIP1	4137	4025	3084	2986
PPP1R27	1	1	2	2
P4HB	47479	49719	26967	27361
ARHGDIA	25613	25319	26492	25004
ALYREF	13792	14386	7210	7788
ANAPC11	5642	6024	1251	1191
NPB	8	10	6	4
PCYT2	2191	2128	1939	2013
SIRT7	1111	1092	818	862
MAFG-AS1	218	217	178	199
PYCR1	11332	11697	6864	6995
MYADML2	10	6	15	13
NOTUM	30	33	24	20
ASPSCR1	1247	1249	630	608
STRA13	7196	7248	5245	5185
LRRC45	1468	1283	682	596
RAC3	8284	8079	8119	8107
DCXR	7179	7361	3486	3490
GPS1	13311	13817	7143	7231
DUS1L	12092	11769	8428	8288
FASN	39604	37337	14261	12683
SNORD134	14	15	8	2
SLC16A3	19	13	9	19
MIR6787	0	0	1	0
CSNK1D	11600	11256	10359	11275
LOC101929511	17	12	10	14
CD7	1	5	6	8
SECTM1	57	75	190	195
TEX19	87	76	57	51
UTS2R	62	46	108	67
OGFOD3	1780	1847	1811	1893
HEXDC	578	549	372	351
NARF	5172	5300	4428	4498
WDR45B	10294	10542	9221	9563
RAB40B	1599	1528	2272	2260
MIR4525	0	0	0	0
LOC101929552	7	10	14	12
FN3KRP	4288	4634	5154	5585
FN3K	16	13	4	13
METRNL	297	272	350	319
PTPRM	229	178	220	262
ZNF521	596	553	334	315
MALT1	1173	1143	1329	1266
MYOM1	15	26	12	8
DLGAP1	4	6	2	1
LINC00667	18	16	23	15
L3MBTL4	77	69	70	74
APCDD1	157	157	252	289
SPIRE1	2589	2609	1353	1272
LDLRAD4	167	167	229	191
ROCK1	5811	5131	3083	3303
TTC39C	981	934	1144	1179
DSG3	0	1	4	2
DTNA	3275	3297	950	952
FHOD3	1639	1519	1741	1883
RIT2	0	0	0	0
ZBTB7C	167	178	264	266
DYM	2851	2762	2273	2490
DCC	0	0	0	0
TCF4	1201	1063	878	896
TXNL1	3069	3035	2807	2801
ATP8B1	66	54	111	104
RNF152	37	32	71	41
PHLPP1	1382	1336	1105	1129
FAM69C	0	1	13	7
LINC00908	0	0	0	1
CTDP1	1275	1271	1091	1014
THOC1	2405	2364	1850	2080
COLEC12	1151	1034	893	944
TYMSOS	95	128	250	230
YES1	4402	4399	2725	2761
LINC00470	6	14	4	4
SMCHD1	5257	4971	3347	3520
EMILIN2	555	532	372	434
MYL12B	7260	7381	5780	6059
EPB41L3	3312	3294	3062	3273
MIR3976HG	0	0	0	0
LINC01387	0	0	0	0
LAMA1	1298	1285	1028	1074
MTCL1	620	517	829	831
ANKRD12	583	450	454	434
PPP4R1	4534	4453	3628	3874
RAB31	2717	2800	2483	2552
PIEZO2	13	15	26	27
GNAL	1227	1244	1065	1070
TUBB6	4216	4166	3225	3297
PSMG2	1896	1817	1457	1477
PTPN2	2002	2041	1453	1579
SEH1L	5458	5458	3741	4125
CEP192	2089	1982	1764	1829
RNMT	4211	4067	3200	3154
MC2R	0	0	0	0
ANKRD30B	1	0	1	0
GREB1L	2916	3098	1410	1370
SNRPD1	13972	13776	9908	10661
MIB1	9616	9327	9607	9729
RBBP8	7488	7335	6778	7184
CABLES1	4658	4565	3776	3856
TMEM241	1416	1429	1639	1648
RIOK3	4070	3851	3512	3566
LAMA3	773	704	707	697
OSBPL1A	3137	3039	2006	2071
LOC729950	0	0	0	0
SS18	6983	6586	6231	6423
TAF4B	3257	3271	2042	2119
KCTD1	1169	1236	1478	1523
AQP4-AS1	2	1	1	3
CHST9	113	149	134	164
CDH2	6660	6696	4565	4873
DSG1	0	0	0	1
TRAPPC8	8448	8235	6126	6172
RNF138	14646	14692	12217	12514
GAREM1	1134	1143	1665	1653
KLHL14	152	115	66	95
CCDC178	13	21	8	22
ASXL3	298	259	624	544
NOL4	241	231	269	319
MAPRE2	9944	10008	7957	8260
ZNF397	695	533	326	381
ZSCAN30	1269	1181	1347	1351
RPRD1A	20794	20945	13426	13980
KIAA1328	540	485	499	483
CELF4	33	26	17	15
MIR924HG	555	579	240	235
PIK3C3	1778	1687	1662	1761
LINC00907	1	0	0	1
